epoch,split,loss,l1_loss,l2_loss,l3_loss,l1_acc,l2_acc,l3_acc,overall_acc,count_l3,lr
1,train,0.915097,0.076704,1.008167,2.107369,0.972321,0.537161,0.000000,0.179946,0,0.00005000
1,val,2.939011,0.115738,0.720071,2.103202,0.973714,0.742000,0.124025,0.473143,3846,0.00004998
1,test,2.930194,0.111795,0.708305,2.110094,0.970857,0.755429,0.121299,0.469571,3850,0.00004998
2,train,0.414788,0.058584,0.869455,2.106793,0.980679,0.648429,0.000000,0.198589,0,0.00004998
2,val,2.829206,0.071811,0.656862,2.100533,0.983000,0.765571,0.117525,0.481571,3846,0.00004992
2,test,2.824199,0.071989,0.650624,2.101586,0.982429,0.774429,0.119481,0.482429,3850,0.00004992
3,train,-0.004869,0.052761,0.804810,2.101631,0.982036,0.691161,0.000000,0.204625,0,0.00004992
3,val,2.840396,0.104359,0.639242,2.096795,0.970143,0.779714,0.119865,0.467571,3846,0.00004983
3,test,2.853852,0.108251,0.644920,2.100681,0.967429,0.782143,0.121558,0.467143,3850,0.00004983
4,train,-0.434831,0.050482,0.731037,2.103121,0.982589,0.736518,0.000000,0.210464,0,0.00004983
4,val,2.784622,0.078536,0.607184,2.098902,0.980857,0.804714,0.126625,0.483714,3846,0.00004969
4,test,2.780025,0.074608,0.604811,2.100606,0.980429,0.809714,0.117662,0.479857,3850,0.00004969
5,train,-0.870048,0.046781,0.660737,2.101793,0.983964,0.781304,0.000000,0.214911,0,0.00004969
5,val,2.745101,0.059956,0.585725,2.099420,0.985571,0.818429,0.119345,0.487000,3846,0.00004952
5,test,2.746178,0.060718,0.582890,2.102569,0.984571,0.821000,0.109091,0.481286,3850,0.00004952
6,train,-1.323670,0.042151,0.585488,2.102450,0.986000,0.822714,0.000000,0.217125,0,0.00004952
6,val,2.724561,0.062824,0.562232,2.099505,0.981286,0.830286,0.111544,0.480571,3846,0.00004931
6,test,2.716572,0.065002,0.552427,2.099143,0.980286,0.841714,0.115065,0.482714,3850,0.00004931
7,train,-1.767249,0.042285,0.515285,2.101383,0.985357,0.861768,0.000000,0.223982,0,0.00004931
7,val,2.739929,0.075119,0.564708,2.100102,0.979714,0.837857,0.111024,0.479714,3846,0.00004906
7,test,2.724653,0.072244,0.553091,2.099319,0.979857,0.846143,0.118961,0.482429,3850,0.00004906
8,train,-2.208480,0.041892,0.451989,2.104612,0.985286,0.893750,0.000000,0.225446,0,0.00004906
8,val,2.774197,0.077681,0.593924,2.102592,0.978571,0.834286,0.117005,0.482000,3846,0.00004878
8,test,2.761995,0.091359,0.571292,2.099344,0.977286,0.844286,0.120000,0.485714,3850,0.00004878
9,train,4.002986,0.037352,0.431017,1.782518,0.986875,0.906446,0.345756,0.407893,48219,0.00004878
9,val,2.231295,0.059306,0.533641,1.638348,0.985857,0.855000,0.421217,0.627143,3846,0.00004845
9,test,2.196100,0.060106,0.510016,1.625977,0.986000,0.868286,0.425714,0.631714,3850,0.00004845
10,train,1.690499,0.035725,0.410812,1.341560,0.987143,0.918107,0.558054,0.583875,48205,0.00004845
10,val,2.021594,0.042178,0.511023,1.468393,0.988286,0.869857,0.492200,0.668857,3846,0.00004810
10,test,1.996863,0.043127,0.495460,1.458276,0.989286,0.874714,0.515065,0.678571,3850,0.00004810
11,train,0.288850,0.033637,0.368876,1.054603,0.987929,0.939143,0.685701,0.697839,48193,0.00004810
11,val,1.879921,0.057742,0.509621,1.312558,0.983714,0.873714,0.570983,0.700000,3846,0.00004770
11,test,1.840731,0.056734,0.482428,1.301569,0.984714,0.885857,0.582338,0.713000,3850,0.00004770
12,train,-0.692418,0.029526,0.334721,0.830030,0.989946,0.955393,0.781830,0.786143,48201,0.00004770
12,val,1.798770,0.048892,0.474021,1.275857,0.986286,0.885429,0.613105,0.727429,3846,0.00004728
12,test,1.731996,0.047936,0.464748,1.219312,0.988571,0.893714,0.627013,0.740000,3850,0.00004728
13,train,-1.301344,0.028681,0.314100,0.673660,0.990232,0.964607,0.850265,0.848875,48125,0.00004728
13,val,1.672656,0.052017,0.467406,1.153233,0.986714,0.891000,0.657306,0.749714,3846,0.00004681
13,test,1.653020,0.058997,0.452904,1.141120,0.984571,0.898286,0.654286,0.754571,3850,0.00004681
14,train,-1.735327,0.025923,0.293210,0.567279,0.991125,0.974107,0.895784,0.893393,48246,0.00004681
14,val,1.625171,0.056382,0.447531,1.121259,0.985857,0.902857,0.678887,0.769000,3846,0.00004632
14,test,1.613647,0.049601,0.434488,1.129558,0.987000,0.907857,0.678442,0.768714,3850,0.00004632
15,train,-2.004009,0.026403,0.281448,0.498317,0.991464,0.980000,0.924784,0.921821,48221,0.00004632
15,val,1.541623,0.060006,0.435088,1.046529,0.987143,0.909429,0.709308,0.785429,3846,0.00004579
15,test,1.516359,0.049464,0.422291,1.044604,0.988571,0.908571,0.707532,0.788143,3850,0.00004579
16,train,-2.243749,0.024658,0.270685,0.450332,0.991786,0.982893,0.945067,0.940804,48222,0.00004579
16,val,1.493999,0.069272,0.425751,0.998976,0.986857,0.912429,0.728289,0.798143,3846,0.00004523
16,test,1.484796,0.072683,0.414355,0.997758,0.987286,0.914143,0.728312,0.799286,3850,0.00004523
17,train,-2.467330,0.022079,0.260157,0.416841,0.993304,0.986875,0.957974,0.955018,47994,0.00004523
17,val,1.421212,0.067033,0.405347,0.948831,0.984857,0.916429,0.749610,0.809714,3846,0.00004463
