epoch,split,loss,l1_loss,l2_loss,l3_loss,l1_acc,l2_acc,l3_acc,overall_acc,count_l3,lr
20,test,0.981241,0.051255,0.275670,0.654316,0.991250,0.961250,0.869110,0.905179,3056,0.00002934
21,train,-2.991892,0.033986,0.196440,0.319946,0.994397,0.990558,0.979998,0.977299,36997,0.00002934
21,val,1.000707,0.080156,0.277664,0.642888,0.990000,0.964286,0.881383,0.914643,3094,0.00002761
21,test,0.916811,0.044351,0.264509,0.607951,0.993393,0.967321,0.893979,0.921786,3056,0.00002761
22,train,-3.020516,0.034751,0.196524,0.310722,0.994018,0.990603,0.983675,0.980848,37367,0.00002761
22,val,1.040868,0.093024,0.293721,0.654123,0.988036,0.960179,0.878474,0.906964,3094,0.00002587
22,test,0.933754,0.050180,0.265409,0.618165,0.992321,0.966786,0.889071,0.917321,3056,0.00002587
23,train,-3.230721,0.025946,0.190552,0.304877,0.995826,0.992522,0.986708,0.984353,37089,0.00002587
23,val,1.051906,0.100354,0.295172,0.656380,0.988036,0.960179,0.876212,0.909643,3094,0.00002413
23,test,0.975017,0.068815,0.273810,0.632392,0.991964,0.966964,0.889398,0.918393,3056,0.00002413
24,train,-3.202218,0.029317,0.191354,0.299511,0.995357,0.992299,0.988352,0.985692,37003,0.00002413
24,val,0.977398,0.099768,0.274292,0.603337,0.985893,0.966071,0.894312,0.916786,3094,0.00002239
24,test,0.909732,0.086150,0.271151,0.552431,0.989643,0.967321,0.910340,0.928571,3056,0.00002239
25,train,-3.323161,0.025317,0.186909,0.295122,0.996004,0.993996,0.989637,0.987455,37055,0.00002239
25,val,0.990313,0.087535,0.288085,0.614692,0.987321,0.961429,0.897220,0.917679,3094,0.00002066
25,test,0.961170,0.068306,0.267744,0.625120,0.990000,0.967143,0.896597,0.920714,3056,0.00002066
26,train,-3.409858,0.023065,0.184232,0.290020,0.996317,0.994710,0.991788,0.990134,37142,0.00002066
26,val,0.946909,0.093102,0.273576,0.580230,0.988750,0.966964,0.904008,0.928750,3094,0.00001895
26,test,0.875217,0.063538,0.256837,0.554842,0.992679,0.971429,0.910340,0.933571,3056,0.00001895
27,train,-3.475763,0.020896,0.183533,0.288015,0.996763,0.995000,0.992249,0.990625,37156,0.00001895
27,val,0.955136,0.097273,0.273075,0.584788,0.988571,0.967321,0.906917,0.928571,3094,0.00001727
27,test,0.887443,0.076436,0.263707,0.547301,0.991964,0.970714,0.914594,0.935536,3056,0.00001727
28,train,-3.515049,0.020926,0.181578,0.283676,0.996830,0.995826,0.993925,0.992478,37037,0.00001727
28,val,0.956558,0.097943,0.268928,0.589687,0.986250,0.967143,0.904331,0.924286,3094,0.00001563
28,test,0.891988,0.088239,0.266663,0.537087,0.988750,0.968036,0.919503,0.933571,3056,0.00001563
29,train,-3.634323,0.016817,0.179738,0.279383,0.997411,0.996429,0.995203,0.993683,37108,0.00001563
29,val,0.931119,0.075958,0.268889,0.586271,0.990714,0.967143,0.905624,0.928393,3094,0.00001404
29,test,0.891905,0.083740,0.267250,0.540915,0.990179,0.970000,0.914921,0.935536,3056,0.00001404
30,train,-3.736084,0.013551,0.177550,0.276969,0.997902,0.997054,0.996220,0.995022,37035,0.00001404
30,val,0.947678,0.105190,0.278814,0.563674,0.988750,0.965536,0.909179,0.930000,3094,0.00001250
30,test,0.892126,0.081430,0.267779,0.542917,0.990357,0.968214,0.921793,0.936964,3056,0.00001250
