epoch,split,loss,l1_loss,l2_loss,l3_loss,l1_acc,l2_acc,l3_acc,overall_acc,count_l3,lr
1,train,0.991326,0.085878,1.254869,0.000000,0.971839,0.429089,0.000000,0.202250,0,0.00005000
1,val,3.076962,0.094029,0.890198,2.092735,0.980571,0.651000,0.138554,0.478429,3818,0.00004998
1,test,3.075081,0.089783,0.896374,2.088924,0.978286,0.649286,0.128332,0.469429,3826,0.00004998
2,train,0.231673,0.068360,1.167502,0.000000,0.979429,0.506964,0.000000,0.215000,0,0.00004998
2,val,3.048457,0.094023,0.860572,2.093862,0.974286,0.682857,0.134887,0.471429,3818,0.00004992
2,test,3.068113,0.101260,0.871714,2.095139,0.971714,0.678000,0.120491,0.462429,3826,0.00004992
3,train,-0.472467,0.061637,1.106449,0.000000,0.981929,0.555250,0.000000,0.221786,0,0.00004992
3,val,3.028956,0.099397,0.834906,2.094653,0.974286,0.702857,0.125720,0.471429,3818,0.00004983
3,test,3.016435,0.093252,0.831500,2.091683,0.974857,0.703857,0.117878,0.467286,3826,0.00004983
4,train,-1.130885,0.063888,1.043187,0.000000,0.981446,0.598357,0.000000,0.226839,0,0.00004983
4,val,2.945002,0.070119,0.786010,2.088873,0.982429,0.731000,0.137507,0.488857,3818,0.00004969
4,test,2.945173,0.066775,0.789076,2.089322,0.983143,0.725857,0.128332,0.483143,3826,0.00004969
5,train,-1.799032,0.059833,0.954083,0.000000,0.983125,0.653232,0.000000,0.233357,0,0.00004969
5,val,2.905602,0.071288,0.742541,2.091774,0.983571,0.760429,0.143793,0.495714,3818,0.00004952
5,test,2.913034,0.069480,0.752020,2.091534,0.983286,0.753571,0.127026,0.487429,3826,0.00004952
6,train,-2.456094,0.057004,0.843932,0.000000,0.984214,0.720643,0.000000,0.244071,0,0.00004952
6,val,2.899427,0.066924,0.736374,2.096129,0.982714,0.766000,0.129125,0.487714,3818,0.00004931
6,test,2.899056,0.066239,0.739963,2.092854,0.984000,0.768429,0.119185,0.484429,3826,0.00004931
7,train,-3.102131,0.055757,0.718068,0.000000,0.985018,0.787214,0.000000,0.254321,0,0.00004931
7,val,2.776604,0.056041,0.626927,2.093637,0.986286,0.826571,0.135673,0.503143,3818,0.00004906
7,test,2.794139,0.057800,0.643825,2.092515,0.987000,0.825143,0.119185,0.493571,3826,0.00004906
8,train,-3.749095,0.053277,0.593931,0.000000,0.985804,0.853339,0.000000,0.262339,0,0.00004906
8,val,2.776342,0.081993,0.597881,2.096468,0.983000,0.846571,0.130959,0.497429,3818,0.00004878
8,test,2.770604,0.085866,0.590963,2.093776,0.982857,0.847571,0.120753,0.493714,3826,0.00004878
9,train,19.029389,0.045598,0.704442,1.710220,0.985750,0.794429,0.381660,0.419643,46227,0.00004878
9,val,2.226310,0.050376,0.625086,1.550847,0.987714,0.823286,0.455998,0.639000,3818,0.00004845
9,test,2.236203,0.049351,0.629523,1.557329,0.988714,0.816143,0.449294,0.626000,3826,0.00004845
10,train,8.257417,0.040053,0.657434,1.216206,0.987089,0.823875,0.614064,0.592643,46360,0.00004845
10,val,1.896495,0.065101,0.582408,1.248986,0.983000,0.849143,0.600838,0.702143,3818,0.00004810
10,test,1.899292,0.060644,0.575966,1.262682,0.983000,0.853571,0.601150,0.704857,3826,0.00004810
11,train,2.861532,0.037232,0.548750,0.885282,0.988393,0.875875,0.756817,0.724696,46352,0.00004810
11,val,1.597252,0.058716,0.512475,1.026061,0.986857,0.884143,0.694343,0.767571,3818,0.00004770
11,test,1.615161,0.057233,0.515087,1.042841,0.988286,0.885143,0.690538,0.764429,3826,0.00004770
12,train,0.110967,0.038963,0.462296,0.656844,0.988339,0.917911,0.855376,0.825357,46410,0.00004770
12,val,1.363725,0.057086,0.460182,0.846457,0.986571,0.914000,0.783656,0.832571,3818,0.00004728
12,test,1.349058,0.048834,0.449180,0.851044,0.988143,0.915429,0.772086,0.826714,3826,0.00004728
13,train,-1.127040,0.042306,0.400135,0.532772,0.987875,0.946143,0.906331,0.886268,46216,0.00004728
13,val,1.224229,0.056677,0.407802,0.759750,0.987143,0.936143,0.812991,0.860857,3818,0.00004681
13,test,1.203158,0.047739,0.407019,0.748401,0.990286,0.933286,0.823314,0.862571,3826,0.00004681
14,train,-1.731874,0.044940,0.356168,0.455118,0.988143,0.964696,0.937256,0.925143,46331,0.00004681
14,val,1.132811,0.073026,0.386721,0.673064,0.984429,0.946714,0.854636,0.886571,3818,0.00004632
14,test,1.122092,0.063965,0.380838,0.677289,0.986571,0.946857,0.849712,0.883714,3826,0.00004632
15,train,-2.065748,0.043079,0.328244,0.410680,0.989625,0.975929,0.955792,0.949161,46259,0.00004632
15,val,1.024892,0.062923,0.354737,0.607232,0.986286,0.958429,0.872446,0.905714,3818,0.00004579
15,test,1.025653,0.059740,0.347902,0.618011,0.987143,0.961571,0.873758,0.909286,3826,0.00004579
16,train,-2.265632,0.042005,0.310063,0.374757,0.990464,0.981911,0.968503,0.963554,46354,0.00004579
16,val,1.009235,0.068765,0.344739,0.595732,0.988571,0.966571,0.874542,0.915429,3818,0.00004523
16,test,0.988614,0.062029,0.340621,0.585963,0.990429,0.965143,0.886304,0.918429,3826,0.00004523
17,train,-2.391647,0.040864,0.297757,0.355064,0.991071,0.985214,0.973816,0.970750,46403,0.00004523
17,val,0.944587,0.071880,0.330484,0.542223,0.988429,0.970857,0.902043,0.931714,3818,0.00004463
17,test,0.940356,0.060423,0.331794,0.548138,0.989286,0.968143,0.894929,0.926143,3826,0.00004463
18,train,-2.461489,0.041327,0.291311,0.338635,0.991446,0.986589,0.979379,0.976536,46311,0.00004463
18,val,0.951442,0.075128,0.333800,0.542515,0.985429,0.967857,0.899162,0.927714,3818,0.00004401
18,test,0.928468,0.075676,0.326693,0.526099,0.987286,0.971286,0.908782,0.933714,3826,0.00004401
19,train,-2.634972,0.036491,0.281144,0.325137,0.992679,0.988911,0.983351,0.980696,46489,0.00004401
19,val,0.940394,0.095993,0.328858,0.515543,0.985000,0.970286,0.907543,0.931571,3818,0.00004336
