epoch,split,loss,l1_loss,l2_loss,l3_loss,l1_acc,l2_acc,l3_acc,overall_acc,count_l3,lr
1,train,1.177124,0.084501,1.471460,0.000000,0.972464,0.337571,0.000000,0.186804,0,0.00005000
1,val,3.202440,0.068396,1.048114,2.085930,0.980571,0.570571,0.138211,0.463286,3813,0.00004998
1,test,3.204894,0.061682,1.060011,2.083201,0.983000,0.563286,0.124166,0.452429,3898,0.00004998
2,train,0.421210,0.068629,1.406677,0.000000,0.979714,0.404875,0.000000,0.197500,0,0.00004998
2,val,3.214606,0.100297,1.027955,2.086354,0.971143,0.601286,0.122738,0.457143,3813,0.00004992
2,test,3.215176,0.091165,1.039668,2.084344,0.975857,0.598143,0.128271,0.449857,3898,0.00004992
3,train,-0.288265,0.064654,1.317471,0.000000,0.981143,0.476143,0.000000,0.208411,0,0.00004992
3,val,3.090977,0.064767,0.941251,2.084960,0.982286,0.665714,0.136113,0.476714,3813,0.00004983
3,test,3.102356,0.059021,0.955335,2.088000,0.984714,0.658714,0.130580,0.466000,3898,0.00004983
4,train,-0.980017,0.062153,1.215494,0.000000,0.982000,0.543018,0.000000,0.213786,0,0.00004983
4,val,3.016612,0.058356,0.871429,2.086827,0.982286,0.714429,0.129819,0.486143,3813,0.00004969
4,test,3.039839,0.054437,0.892262,2.093140,0.986143,0.701571,0.122627,0.472286,3898,0.00004969
5,train,-1.702972,0.059497,1.046631,0.000000,0.983054,0.645536,0.000000,0.226804,0,0.00004969
5,val,2.964734,0.083669,0.794094,2.086971,0.978714,0.766143,0.132442,0.483571,3813,0.00004952
5,test,2.963240,0.068687,0.805059,2.089494,0.983286,0.755143,0.120831,0.473429,3898,0.00004952
6,train,-2.463248,0.058079,0.822878,0.000000,0.984179,0.770393,0.000000,0.245286,0,0.00004952
6,val,2.780699,0.068365,0.623821,2.088513,0.984143,0.853714,0.132179,0.501000,3813,0.00004931
6,test,2.782950,0.055751,0.632983,2.094216,0.987000,0.847714,0.127501,0.489143,3898,0.00004931
7,train,-3.220134,0.057257,0.615613,0.000000,0.984875,0.874857,0.000000,0.251625,0,0.00004931
7,val,2.653239,0.059440,0.504193,2.089605,0.985286,0.908571,0.127459,0.506429,3813,0.00004906
7,test,2.663659,0.060326,0.508810,2.094522,0.986000,0.907857,0.117753,0.493286,3898,0.00004906
8,train,-3.893893,0.059851,0.470435,0.000000,0.984929,0.936411,0.000000,0.258482,0,0.00004906
8,val,2.553499,0.056150,0.406549,2.090800,0.986714,0.952857,0.132704,0.516714,3813,0.00004878
8,test,2.558608,0.053235,0.406152,2.099221,0.988429,0.952000,0.124679,0.504429,3898,0.00004878
9,train,18.887843,0.041605,0.514591,1.729770,0.986911,0.919893,0.368057,0.449411,46577,0.00004878
9,val,2.102901,0.065063,0.475526,1.562312,0.984286,0.922857,0.440598,0.666286,3813,0.00004845
9,test,2.103211,0.056722,0.474949,1.571540,0.987000,0.925571,0.440482,0.659571,3898,0.00004845
10,train,9.170440,0.040203,0.449456,1.358560,0.986571,0.946161,0.539250,0.595536,46446,0.00004845
10,val,1.791370,0.050508,0.411233,1.329629,0.986429,0.950571,0.544191,0.730857,3813,0.00004810
10,test,1.780108,0.050687,0.403291,1.326130,0.987857,0.955286,0.559774,0.736429,3898,0.00004810
11,train,3.706302,0.037026,0.387901,1.063821,0.988429,0.967000,0.673144,0.714625,46265,0.00004810
11,val,1.539460,0.047988,0.375585,1.115887,0.987714,0.963714,0.658537,0.799000,3813,0.00004770
11,test,1.511727,0.044605,0.368199,1.098922,0.988571,0.966143,0.664956,0.799143,3898,0.00004770
12,train,0.631394,0.035324,0.352379,0.827158,0.989286,0.977607,0.780605,0.806375,46414,0.00004770
12,val,1.315240,0.047734,0.350798,0.916708,0.987286,0.972286,0.742460,0.846143,3813,0.00004728
12,test,1.311052,0.045964,0.346275,0.918813,0.989000,0.975143,0.738584,0.842714,3898,0.00004728
13,train,-1.023639,0.031848,0.328687,0.659664,0.990446,0.983911,0.852982,0.868982,46348,0.00004728
13,val,1.215786,0.074505,0.340226,0.801055,0.984000,0.976286,0.801993,0.877286,3813,0.00004681
13,test,1.188185,0.063636,0.341575,0.782974,0.986143,0.977571,0.812724,0.881714,3898,0.00004681
14,train,-1.720295,0.035894,0.318596,0.553988,0.990286,0.986500,0.899859,0.909804,46165,0.00004681
14,val,1.079117,0.060153,0.329076,0.689889,0.989000,0.979857,0.846577,0.906857,3813,0.00004632
14,test,1.076363,0.060008,0.322892,0.693463,0.989571,0.982857,0.837609,0.903714,3898,0.00004632
15,train,-2.199820,0.032073,0.305026,0.472419,0.992375,0.989750,0.934115,0.939839,46414,0.00004632
15,val,1.009716,0.076442,0.319567,0.613706,0.989000,0.982286,0.872804,0.924286,3813,0.00004579
15,test,0.973221,0.072006,0.315825,0.585390,0.989714,0.984143,0.884300,0.929429,3898,0.00004579
16,train,-2.409921,0.031059,0.296191,0.425896,0.992696,0.990661,0.954517,0.956875,46501,0.00004579
