epoch,split,loss,l1_loss,l2_loss,l3_loss,l1_acc,l2_acc,l3_acc,overall_acc,count_l3,lr
1,train,0.057641,0.053966,0.153905,0.000000,0.983423,0.983274,0.000000,0.260893,0,0.00005000
1,val,2.318899,0.062182,0.145419,2.111297,0.989762,0.990476,0.110575,0.508333,2279,0.00004969
1,test,2.289281,0.047247,0.136270,2.105763,0.992143,0.993571,0.108677,0.498333,2328,0.00004969
2,train,1.374387,0.024586,0.133823,1.467473,0.993929,0.993929,0.431050,0.524048,27955,0.00004969
2,val,1.249525,0.030734,0.137752,1.081039,0.994524,0.994762,0.620009,0.789048,2279,0.00004878
2,test,1.266347,0.023579,0.132804,1.109963,0.996667,0.996429,0.603522,0.777381,2328,0.00004878
3,train,0.516563,0.016373,0.128258,0.859716,0.996310,0.996190,0.724589,0.769494,27842,0.00004878
3,val,0.854938,0.025590,0.130050,0.699298,0.994762,0.994524,0.806055,0.890476,2279,0.00004728
3,test,0.856722,0.016503,0.124769,0.715450,0.996905,0.996905,0.795103,0.883810,2328,0.00004728
4,train,0.073177,0.016886,0.128490,0.628250,0.996042,0.996012,0.835911,0.860952,27930,0.00004728
4,val,0.743014,0.016987,0.126706,0.599321,0.996667,0.996429,0.845108,0.913333,2279,0.00004523
4,test,0.764352,0.012572,0.123227,0.628553,0.997857,0.997857,0.834192,0.906429,2328,0.00004523
5,train,-0.236578,0.013895,0.126315,0.540594,0.996786,0.996786,0.879907,0.898095,27920,0.00004523
5,val,0.651233,0.015020,0.124874,0.511339,0.996905,0.997143,0.885915,0.935952,2279,0.00004268
5,test,0.655162,0.011481,0.122732,0.520948,0.998095,0.998095,0.887887,0.936190,2328,0.00004268
6,train,-0.506078,0.010233,0.123711,0.486991,0.997768,0.997738,0.904898,0.919435,27949,0.00004268
6,val,0.638769,0.029494,0.129644,0.479631,0.995476,0.995476,0.910487,0.946667,2279,0.00003969
6,test,0.623108,0.009845,0.121678,0.491585,0.998333,0.998095,0.902921,0.944524,2328,0.00003969
7,train,-0.734749,0.012016,0.124600,0.446357,0.997321,0.997173,0.923253,0.934375,27936,0.00003969
7,val,0.613890,0.023416,0.126432,0.464041,0.996190,0.996429,0.921896,0.954286,2279,0.00003635
7,test,0.621859,0.012367,0.122551,0.486942,0.998095,0.997857,0.908505,0.947381,2328,0.00003635
8,train,-0.950365,0.012409,0.124420,0.410072,0.997589,0.997500,0.940763,0.949405,27854,0.00003635
8,val,0.623407,0.015384,0.125210,0.482812,0.996905,0.996667,0.913559,0.950476,2279,0.00003273
8,test,0.643350,0.011025,0.121916,0.510408,0.998095,0.997857,0.898625,0.942143,2328,0.00003273
9,train,-1.156414,0.010138,0.123056,0.377744,0.997946,0.997887,0.954980,0.961012,27899,0.00003273
9,val,0.609961,0.021134,0.126699,0.462128,0.996667,0.996667,0.922334,0.955476,2279,0.00002891
9,test,0.632982,0.008492,0.121325,0.503165,0.998571,0.998333,0.915378,0.951667,2328,0.00002891
10,train,-1.324628,0.010426,0.123033,0.355167,0.997917,0.997857,0.965879,0.970268,27871,0.00002891
10,val,0.540845,0.010006,0.121168,0.409671,0.998333,0.998333,0.945590,0.969286,2279,0.00002500
10,test,0.576519,0.004992,0.118948,0.452579,0.999048,0.999524,0.939003,0.965476,2328,0.00002500
11,train,-1.482519,0.010929,0.123135,0.329582,0.997857,0.997887,0.975783,0.978601,27790,0.00002500
11,val,0.584527,0.011618,0.121820,0.451088,0.998095,0.998095,0.931549,0.961429,2279,0.00002109
11,test,0.573373,0.006797,0.120750,0.445825,0.998333,0.998333,0.937715,0.964048,2328,0.00002109
12,train,-1.611936,0.009065,0.121752,0.316669,0.998333,0.998304,0.981325,0.983214,27952,0.00002109
12,val,0.572545,0.015210,0.124130,0.433205,0.997381,0.997143,0.939008,0.964524,2279,0.00001727
12,test,0.562273,0.009285,0.121491,0.431497,0.998333,0.998333,0.948024,0.970000,2328,0.00001727
13,train,-1.718932,0.008633,0.121845,0.303570,0.998363,0.998363,0.986584,0.987589,27952,0.00001727
13,val,0.526739,0.009449,0.120801,0.396489,0.998571,0.998333,0.953488,0.973810,2279,0.00001365
13,test,0.551047,0.005077,0.119169,0.426801,0.999286,0.999286,0.949313,0.971429,2328,0.00001365
